Name,|V|,|E|,Randomized-1,Greedy-1,Semi-greedy-1 (α=0.7),Local-1 Iter,Local-1 Avg,GRASP-1 Iter,GRASP-1 Best,Known Best
G1,800,19176,9574,10979,11224,50,11341,50,11455,12078
G2,800,19176,9590,11062,11212,50,11341,50,11455,12084
G3,800,19176,9616,11046,11224,50,11334,50,11478,12077
G4,800,19176,9574,11016,11286,50,11352,50,11503,-
G5,800,19176,9591,11027,11148,50,11336,50,11452,-
G6,800,19176,81,1553,1666,50,1883,50,1997,-
G7,800,19176,-92,1369,1499,50,1715,50,1808,-
G8,800,19176,-94,1376,1512,50,1723,50,1853,-
G9,800,19176,-37,1490,1607,50,1762,50,1866,-
G10,800,19176,-89,1282,1527,50,1711,50,1852,-
G11,800,1600,14,430,436,50,425,50,488,627
G12,800,1600,-10,420,434,50,416,50,472,621
G13,800,1600,15,416,428,50,438,50,500,645
G14,800,4694,2343,2891,2926,50,2912,50,2997,3187
G15,800,4661,2330,2864,2933,50,2895,50,2978,3169
G16,800,4672,2331,2896,2909,50,2900,50,2968,3172
G17,800,4667,2336,2865,2919,50,2897,50,2972,-
G18,800,4694,31,751,823,50,811,50,903,-
G19,800,4661,-65,711,695,50,727,50,811,-
G20,800,4672,-17,734,679,50,755,50,839,-
G21,800,4667,-22,733,724,50,754,50,848,-
G22,2000,19990,9988,12328,12708,50,12772,50,12974,14123
G23,2000,19990,10009,12281,12727,50,12765,50,13015,14129
G24,2000,19990,9971,12381,12676,50,12774,50,12989,14131
G25,2000,19990,9986,12434,12673,50,12779,50,12992,-
G26,2000,19990,9982,12368,12692,50,12768,50,12976,-
G27,2000,19990,-18,2300,2523,50,2770,50,2985,-
G28,2000,19990,-20,2300,2547,50,2727,50,2928,-
G29,2000,19990,39,2409,2657,50,2830,50,3034,-
G30,2000,19990,64,2404,2609,50,2841,50,3024,-
G31,2000,19990,-35,2307,2502,50,2746,50,2913,-
G32,2000,4000,10,1026,1080,50,1051,50,1182,1560
G33,2000,4000,-20,1010,1086,50,1025,50,1184,1537
G34,2000,4000,-24,978,1124,50,1030,50,1174,1541
G35,2000,11778,5890,7236,7370,50,7298,50,7472,8000
G36,2000,11766,5883,7274,7369,50,7299,50,7463,7996
G37,2000,11785,5901,7262,7369,50,7307,50,7484,8009
G38,2000,11779,5889,7249,7372,50,7302,50,7481,-
G39,2000,11778,25,1939,1835,50,1962,50,2109,-
G40,2000,11766,-54,1828,1842,50,1936,50,2097,-
G41,2000,11785,-4,1875,1906,50,1941,50,2148,-
G42,2000,11779,70,1943,1881,50,2040,50,2236,-
G43,1000,9990,4992,6168,6321,50,6383,50,6503,7027
G44,1000,9990,4985,6115,6377,50,6379,50,6499,7022
G45,1000,9990,4989,6202,6362,50,6373,50,6493,7020
G46,1000,9990,4995,6148,6338,50,6374,50,6505,-
G47,1000,9990,4991,6212,6349,50,6375,50,6523,-
G48,3000,6000,3010,6000,5664,50,4963,50,5898,6000
G49,3000,6000,3009,5994,5732,50,4967,50,6000,6000
G50,3000,6000,2994,5876,5642,50,4965,50,5858,5988
G51,1000,5909,2949,3651,3690,50,3661,50,3774,-
G52,1000,5916,2957,3637,3709,50,3660,50,3754,-
G53,1000,5914,2962,3633,3682,50,3660,50,3759,-
G54,1000,5916,2945,3624,3682,50,3661,50,3749,-
